Position,TopX,TopY
0,1,79
1,142,79
2,286,79
3,430,79
4,574,79
5,717,79
6,861,79
10,1,184
11,142,184
12,286,184
13,430,184
14,574,184
15,717,184
16,861,184
20,1,289
21,142,289
22,286,289
23,430,289
24,574,289
25,717,289
26,861,289
30,1,393
31,142,393
32,286,393
33,430,393
34,574,393
35,717,393
36,861,393
40,1,497
41,142,497
42,286,497
43,430,497
44,574,497
45,717,497
46,861,497
